t,num_new_requests,frac_requests_fulfilled,frac_passenger-carrying_cars,frac_rerouting_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_low_battery_cars,frac_med_battery_cars,frac_high_battery_cars,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,trial
0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.5
1,1.0,0.1,0.1,0.0,0.7,0.2,0.1,0.0,0.9,0.1,0.9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.5
2,1.0,0.0,0.0,0.1,0.7,0.2,0.0,0.0,1.0,0.1,0.3,0.6,1.0,0.0,0.5499999999999989,0.0,0.0,1.0,4.5
3,2.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.1,0.9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.5
4,0.0,1.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5
5,1.0,0.8,0.8,0.0,0.2,0.0,0.8,0.0,0.2,0.8,0.0,0.2,1.0,0.0,0.0,0.0,0.0,1.0,4.5
6,1.0,0.2,0.2,0.0,0.4,0.4,0.2,0.0,0.8,0.8,0.2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.5
7,1.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,1.0,0.4,0.2,0.4,1.0,0.0,0.0,0.0,0.0,1.0,4.5
8,2.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2,0.8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.5
9,0.0,1.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5
10,1.0,0.8,0.8,0.0,0.2,0.0,0.8,0.0,0.2,0.8,0.0,0.2,1.0,0.0,0.0,0.0,0.0,1.0,4.5
11,1.0,0.2,0.2,0.0,0.4,0.4,0.2,0.0,0.8,0.8,0.2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.5
12,1.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,1.0,0.4,0.2,0.4,1.0,0.0,0.0,0.0,0.0,1.0,4.5
13,2.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2,0.8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.5
14,0.0,1.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5
15,1.0,0.8,0.8,0.0,0.2,0.0,0.8,0.0,0.2,0.8,0.0,0.2,1.0,0.0,0.0,0.0,0.0,1.0,4.5
16,1.0,0.2,0.2,0.0,0.4,0.4,0.2,0.0,0.8,0.8,0.2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.5
17,1.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,1.0,0.4,0.2,0.4,1.0,0.0,0.0,0.0,0.0,1.0,4.5
18,2.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2,0.8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.5
19,0.0,1.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5
20,1.0,0.8,0.8,0.0,0.2,0.0,0.8,0.0,0.2,0.8,0.0,0.2,1.0,0.0,0.0,0.0,0.0,1.0,4.5
21,1.0,0.2,0.2,0.0,0.4,0.4,0.2,0.0,0.8,0.8,0.2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.5
22,1.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,1.0,0.4,0.2,0.4,1.0,0.0,0.0,0.0,0.0,1.0,4.5
23,2.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2,0.8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.5
24,0.0,1.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5
25,1.0,0.8,0.8,0.0,0.2,0.0,0.8,0.0,0.2,0.8,0.0,0.2,1.0,0.0,0.0,0.0,0.0,1.0,4.5
26,1.0,0.2,0.2,0.0,0.4,0.4,0.2,0.0,0.8,0.8,0.2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.5
